i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.64,,,,,,,,,,,,,,,,,,,
2,10.08,10.96,,,,,,,,,,,,,,,,,,
3,9.51,10.40,11.10,,,,,,,,,,,,,,,,,
4,8.95,9.83,10.54,11.22,,,,,,,,,,,,,,,,
5,8.39,9.27,9.97,10.65,11.31,,,,,,,,,,,,,,,
6,7.82,8.71,9.41,10.09,10.75,11.39,,,,,,,,,,,,,,
7,7.26,8.14,8.85,9.52,10.18,10.82,11.46,,,,,,,,,,,,,
8,6.70,7.58,8.28,8.96,9.62,10.26,10.89,11.51,,,,,,,,,,,,
9,6.13,7.01,7.72,8.40,9.05,9.70,10.33,10.95,11.56,,,,,,,,,,,
10,5.57,6.45,7.15,7.83,8.49,9.13,9.76,10.39,11.00,11.61,,,,,,,,,,
11,5.00,5.89,6.59,7.27,7.93,8.57,9.20,9.82,10.44,11.04,11.64,,,,,,,,,
12,4.44,5.32,6.03,6.70,7.36,8.00,8.64,9.26,9.87,10.48,11.08,11.68,,,,,,,,
13,3.88,4.76,5.46,6.14,6.80,7.44,8.07,8.69,9.31,9.91,10.52,11.11,11.70,,,,,,,
14,3.31,4.20,4.90,5.58,6.23,6.88,7.51,8.13,8.74,9.35,9.95,10.55,11.14,11.73,,,,,,
15,2.75,3.63,4.33,5.01,5.67,6.31,6.94,7.57,8.18,8.79,9.39,9.98,10.58,11.16,11.75,,,,,
16,2.18,3.07,3.77,4.45,5.11,5.75,6.38,7.00,7.62,8.22,8.82,9.42,10.01,10.60,11.18,11.77,,,,
17,1.62,2.50,3.20,3.88,4.54,5.18,5.81,6.43,7.05,7.65,8.26,8.85,9.44,10.03,10.62,11.20,11.78,,,
18,1.06,1.94,2.63,3.31,3.96,4.61,5.23,5.85,6.47,7.07,7.67,8.27,8.86,9.44,10.03,10.61,11.19,11.76,,
19,0.48,1.33,2.01,2.66,3.30,3.93,4.54,5.15,5.75,6.34,6.93,7.52,8.10,8.68,9.26,9.83,10.40,10.97,11.54,
20,0.00,0.62,1.12,1.62,2.12,2.62,3.12,3.62,4.12,4.62,5.12,5.62,6.12,6.62,7.12,7.62,8.12,8.62,9.12,9.62
