i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.33,,,,,,,,,,,,,,,,,,,
2,9.78,10.62,,,,,,,,,,,,,,,,,,
3,9.23,10.07,10.77,,,,,,,,,,,,,,,,,
4,8.68,9.52,10.22,10.90,,,,,,,,,,,,,,,,
5,8.13,8.97,9.67,10.35,11.00,,,,,,,,,,,,,,,
6,7.58,8.42,9.12,9.80,10.45,11.09,,,,,,,,,,,,,,
7,7.03,7.87,8.57,9.25,9.90,10.54,11.17,,,,,,,,,,,,,
8,6.48,7.32,8.02,8.70,9.35,9.99,10.62,11.23,,,,,,,,,,,,
9,5.93,6.77,7.47,8.15,8.80,9.44,10.07,10.68,11.29,,,,,,,,,,,
10,5.38,6.22,6.92,7.60,8.25,8.89,9.52,10.13,10.74,11.35,,,,,,,,,,
11,4.83,5.67,6.37,7.05,7.70,8.34,8.97,9.58,10.19,10.80,11.39,,,,,,,,,
12,4.28,5.12,5.82,6.50,7.15,7.79,8.42,9.03,9.64,10.25,10.84,11.44,,,,,,,,
13,3.73,4.57,5.27,5.95,6.60,7.24,7.87,8.48,9.09,9.70,10.29,10.89,11.48,,,,,,,
14,3.18,4.02,4.72,5.40,6.05,6.69,7.32,7.93,8.54,9.15,9.74,10.34,10.93,11.51,,,,,,
15,2.63,3.47,4.17,4.85,5.50,6.14,6.77,7.38,7.99,8.60,9.19,9.79,10.38,10.96,11.54,,,,,
16,2.08,2.92,3.62,4.30,4.95,5.59,6.21,6.83,7.44,8.05,8.64,9.24,9.83,10.41,10.99,11.57,,,,
17,1.53,2.37,3.07,3.74,4.40,5.04,5.66,6.28,6.89,7.49,8.09,8.68,9.27,9.86,10.44,11.02,11.59,,,
18,0.98,1.82,2.52,3.19,3.84,4.47,5.10,5.71,6.32,6.93,7.52,8.11,8.70,9.29,9.87,10.44,11.02,11.59,,
19,0.44,1.23,1.91,2.56,3.20,3.82,4.43,5.04,5.63,6.22,6.81,7.39,7.97,8.55,9.12,9.69,10.26,10.83,11.39,
20,0.00,0.57,1.07,1.57,2.07,2.57,3.07,3.57,4.07,4.57,5.07,5.57,6.07,6.57,7.07,7.57,8.07,8.57,9.07,9.57
