i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.58,,,,,,,,,,,,,,,,,,,
2,10.01,10.86,,,,,,,,,,,,,,,,,,
3,9.45,10.30,11.01,,,,,,,,,,,,,,,,,
4,8.88,9.73,10.44,11.12,,,,,,,,,,,,,,,,
5,8.32,9.17,9.88,10.56,11.22,,,,,,,,,,,,,,,
6,7.76,8.61,9.32,10.00,10.66,11.30,,,,,,,,,,,,,,
7,7.19,8.04,8.75,9.43,10.09,10.74,11.37,,,,,,,,,,,,,
8,6.63,7.48,8.19,8.87,9.53,10.18,10.81,11.43,,,,,,,,,,,,
9,6.06,6.91,7.62,8.31,8.97,9.61,10.25,10.87,11.48,,,,,,,,,,,
10,5.50,6.35,7.06,7.74,8.40,9.05,9.68,10.30,10.92,11.53,,,,,,,,,,
11,4.94,5.79,6.50,7.18,7.84,8.48,9.12,9.74,10.36,10.96,11.57,,,,,,,,,
12,4.37,5.22,5.93,6.61,7.27,7.92,8.55,9.18,9.79,10.40,11.00,11.60,,,,,,,,
13,3.81,4.66,5.37,6.05,6.71,7.36,7.99,8.61,9.23,9.84,10.44,11.04,11.63,,,,,,,
14,3.24,4.09,4.80,5.49,6.15,6.79,7.43,8.05,8.66,9.27,9.87,10.47,11.06,11.65,,,,,,
15,2.68,3.53,4.24,4.92,5.58,6.23,6.86,7.49,8.10,8.71,9.31,9.91,10.50,11.09,11.68,,,,,
16,2.12,2.97,3.68,4.36,5.02,5.66,6.30,6.92,7.54,8.14,8.75,9.34,9.94,10.53,11.11,11.69,,,,
17,1.55,2.40,3.11,3.79,4.45,5.10,5.73,6.35,6.97,7.58,8.18,8.78,9.37,9.96,10.54,11.13,11.71,,,
18,0.99,1.84,2.54,3.22,3.88,4.52,5.15,5.77,6.39,6.99,7.59,8.19,8.78,9.37,9.95,10.54,11.11,11.69,,
19,0.43,1.23,1.92,2.58,3.22,3.85,4.46,5.07,5.67,6.27,6.86,7.45,8.03,8.61,9.18,9.76,10.33,10.90,11.47,
20,0.00,0.56,1.06,1.56,2.06,2.56,3.06,3.56,4.06,4.56,5.06,5.56,6.06,6.56,7.06,7.56,8.06,8.56,9.06,9.56
