i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.71,,,,,,,,,,,,,,,,,,,
2,10.15,11.07,,,,,,,,,,,,,,,,,,
3,9.58,10.50,11.20,,,,,,,,,,,,,,,,,
4,9.02,9.94,10.64,11.31,,,,,,,,,,,,,,,,
5,8.45,9.37,10.07,10.75,11.40,,,,,,,,,,,,,,,
6,7.89,8.81,9.51,10.18,10.84,11.48,,,,,,,,,,,,,,
7,7.33,8.25,8.95,9.62,10.27,10.92,11.54,,,,,,,,,,,,,
8,6.76,7.68,8.38,9.06,9.71,10.35,10.98,11.60,,,,,,,,,,,,
9,6.20,7.12,7.82,8.49,9.15,9.79,10.42,11.04,11.65,,,,,,,,,,,
10,5.63,6.55,7.25,7.93,8.58,9.22,9.85,10.47,11.08,11.69,,,,,,,,,,
11,5.07,5.99,6.69,7.36,8.02,8.66,9.29,9.91,10.52,11.13,11.73,,,,,,,,,
12,4.51,5.43,6.13,6.80,7.46,8.10,8.72,9.34,9.96,10.56,11.16,11.76,,,,,,,,
13,3.94,4.86,5.56,6.24,6.89,7.53,8.16,8.78,9.39,10.00,10.60,11.19,11.78,,,,,,,
14,3.38,4.30,5.00,5.67,6.33,6.97,7.60,8.22,8.83,9.43,10.03,10.63,11.22,11.81,,,,,,
15,2.81,3.73,4.43,5.11,5.76,6.40,7.03,7.65,8.26,8.87,9.47,10.07,10.66,11.24,11.83,,,,,
16,2.25,3.17,3.87,4.54,5.20,5.84,6.47,7.09,7.70,8.31,8.91,9.50,10.09,10.68,11.26,11.84,,,,
17,1.69,2.60,3.30,3.98,4.63,5.27,5.90,6.52,7.13,7.74,8.34,8.93,9.52,10.11,10.70,11.28,11.86,,,
18,1.13,2.04,2.73,3.40,4.06,4.70,5.32,5.94,6.55,7.15,7.75,8.35,8.94,9.52,10.11,10.69,11.26,11.84,,
19,0.53,1.43,2.10,2.76,3.39,4.01,4.63,5.23,5.83,6.43,7.01,7.60,8.18,8.76,9.33,9.91,10.48,11.04,11.61,
20,0.00,0.68,1.18,1.68,2.18,2.68,3.18,3.68,4.18,4.68,5.18,5.68,6.18,6.68,7.18,7.68,8.18,8.68,9.18,9.68
