i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.72,,,,,,,,,,,,,,,,,,,
2,10.16,11.08,,,,,,,,,,,,,,,,,,
3,9.59,10.52,11.22,,,,,,,,,,,,,,,,,
4,9.03,9.95,10.65,11.33,,,,,,,,,,,,,,,,
5,8.46,9.39,10.09,10.76,11.42,,,,,,,,,,,,,,,
6,7.90,8.83,9.53,10.20,10.85,11.49,,,,,,,,,,,,,,
7,7.34,8.26,8.96,9.63,10.29,10.93,11.56,,,,,,,,,,,,,
8,6.77,7.70,8.40,9.07,9.73,10.37,10.99,11.61,,,,,,,,,,,,
9,6.21,7.13,7.83,8.51,9.16,9.80,10.43,11.05,11.66,,,,,,,,,,,
10,5.64,6.57,7.27,7.94,8.60,9.24,9.87,10.49,11.10,11.70,,,,,,,,,,
11,5.08,6.01,6.71,7.38,8.03,8.67,9.30,9.92,10.53,11.14,11.74,,,,,,,,,
12,4.52,5.44,6.14,6.82,7.47,8.11,8.74,9.36,9.97,10.58,11.17,11.77,,,,,,,,
13,3.95,4.88,5.58,6.25,6.91,7.55,8.17,8.79,9.41,10.01,10.61,11.21,11.80,,,,,,,
14,3.39,4.31,5.01,5.69,6.34,6.98,7.61,8.23,8.84,9.45,10.05,10.64,11.23,11.82,,,,,,
15,2.82,3.75,4.45,5.12,5.78,6.42,7.05,7.67,8.28,8.88,9.48,10.08,10.67,11.26,11.84,,,,,
16,2.26,3.19,3.89,4.56,5.21,5.85,6.48,7.10,7.71,8.32,8.92,9.51,10.10,10.69,11.28,11.86,,,,
17,1.70,2.62,3.32,3.99,4.65,5.29,5.92,6.54,7.15,7.75,8.35,8.95,9.54,10.12,10.71,11.29,11.87,,,
18,1.14,2.06,2.75,3.42,4.07,4.71,5.34,5.95,6.56,7.17,7.77,8.36,8.95,9.54,10.12,10.70,11.28,11.85,,
19,0.54,1.44,2.12,2.77,3.41,4.03,4.64,5.25,5.84,6.44,7.03,7.61,8.19,8.77,9.35,9.92,10.49,11.06,11.62,
20,0.00,0.69,1.19,1.69,2.19,2.69,3.19,3.69,4.19,4.69,5.19,5.69,6.19,6.69,7.19,7.69,8.19,8.69,9.19,9.69
