i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,5.70,,,,,,,,,,,,,,,,,,,
2,5.40,5.89,,,,,,,,,,,,,,,,,,
3,5.09,5.58,6.19,,,,,,,,,,,,,,,,,
4,4.79,5.28,5.88,6.47,,,,,,,,,,,,,,,,
5,4.49,4.97,5.58,6.16,6.73,,,,,,,,,,,,,,,
6,4.18,4.67,5.27,5.86,6.43,6.99,,,,,,,,,,,,,,
7,3.88,4.36,4.97,5.55,6.12,6.69,7.25,,,,,,,,,,,,,
8,3.57,4.06,4.66,5.25,5.82,6.38,6.94,7.50,,,,,,,,,,,,
9,3.27,3.76,4.36,4.94,5.51,6.08,6.64,7.19,7.75,,,,,,,,,,,
10,2.96,3.45,4.05,4.64,5.21,5.77,6.33,6.89,7.44,7.99,,,,,,,,,,
11,2.66,3.15,3.75,4.33,4.90,5.47,6.03,6.58,7.14,7.68,8.23,,,,,,,,,
12,2.35,2.84,3.44,4.03,4.60,5.16,5.72,6.28,6.83,7.38,7.93,8.47,,,,,,,,
13,2.05,2.54,3.14,3.72,4.29,4.86,5.42,5.97,6.53,7.07,7.62,8.16,8.71,,,,,,,
14,1.74,2.23,2.83,3.42,3.99,4.55,5.11,5.67,6.22,6.77,7.32,7.86,8.40,8.94,,,,,,
15,1.44,1.93,2.53,3.11,3.68,4.25,4.81,5.36,5.92,6.46,7.01,7.55,8.10,8.64,9.18,,,,,
16,1.13,1.62,2.22,2.81,3.38,3.95,4.50,5.06,5.61,6.16,6.71,7.25,7.79,8.33,8.87,9.41,,,,
17,0.83,1.32,1.92,2.50,3.07,3.64,4.20,4.75,5.31,5.85,6.40,6.94,7.49,8.03,8.57,9.10,9.64,,,
18,0.52,1.01,1.61,2.20,2.77,3.33,3.89,4.45,5.00,5.55,6.09,6.64,7.18,7.72,8.26,8.79,9.33,9.87,,
19,0.23,0.70,1.29,1.87,2.44,3.00,3.55,4.10,4.65,5.20,5.74,6.28,6.82,7.36,7.89,8.43,8.96,9.50,10.03,
20,0.00,0.35,0.85,1.35,1.85,2.35,2.85,3.35,3.85,4.35,4.85,5.35,5.85,6.35,6.85,7.35,7.85,8.35,8.85,9.35
