i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.55,,,,,,,,,,,,,,,,,,
2,1.55,2.48,,,,,,,,,,,,,,,,,
3,1.55,2.48,3.53,,,,,,,,,,,,,,,,
4,1.55,2.48,3.53,4.58,,,,,,,,,,,,,,,
5,1.55,2.48,3.53,4.58,5.62,,,,,,,,,,,,,,
6,1.55,2.48,3.53,4.58,5.62,6.66,,,,,,,,,,,,,
7,1.55,2.48,3.53,4.58,5.62,6.66,7.70,,,,,,,,,,,,
8,1.55,2.48,3.53,4.58,5.62,6.66,7.70,8.73,,,,,,,,,,,
9,1.55,2.48,3.53,4.58,5.62,6.66,7.70,8.73,9.77,,,,,,,,,,
10,1.55,2.48,3.53,4.58,5.62,6.66,7.70,8.73,9.77,10.80,,,,,,,,,
11,1.55,2.48,3.53,4.58,5.62,6.66,7.70,8.73,9.77,10.80,11.83,,,,,,,,
12,1.55,2.48,3.53,4.58,5.62,6.66,7.70,8.73,9.77,10.80,11.83,12.86,,,,,,,
13,1.55,2.48,3.53,4.58,5.62,6.66,7.70,8.73,9.77,10.80,11.83,12.86,13.88,,,,,,
14,1.55,2.48,3.53,4.58,5.62,6.66,7.70,8.73,9.77,10.80,11.83,12.86,13.88,14.91,,,,,
15,1.55,2.48,3.53,4.58,5.62,6.66,7.70,8.73,9.77,10.80,11.83,12.85,13.88,14.91,15.93,,,,
16,1.55,2.48,3.53,4.58,5.62,6.66,7.70,8.73,9.76,10.79,11.82,12.85,13.88,14.90,15.93,16.95,,,
17,1.54,2.47,3.52,4.57,5.61,6.65,7.69,8.72,9.75,10.78,11.81,12.84,13.87,14.89,15.91,16.94,17.96,,
18,1.49,2.40,3.44,4.48,5.51,6.54,7.58,8.61,9.64,10.66,11.69,12.71,13.74,14.76,15.78,16.80,17.82,18.84,
19,0.97,1.94,2.91,3.89,4.87,5.86,6.85,7.85,8.84,9.84,10.84,11.83,12.83,13.83,14.83,15.83,16.83,17.83,18.83
