i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,8.25,,,,,,,,,,,,,,,,,,,
2,7.81,8.51,,,,,,,,,,,,,,,,,,
3,7.37,8.07,8.72,,,,,,,,,,,,,,,,,
4,6.93,7.63,8.28,8.91,,,,,,,,,,,,,,,,
5,6.49,7.19,7.85,8.47,9.08,,,,,,,,,,,,,,,
6,6.05,6.75,7.41,8.03,8.64,9.24,,,,,,,,,,,,,,
7,5.61,6.32,6.97,7.59,8.2,8.8,9.38,,,,,,,,,,,,,
8,5.17,5.88,6.53,7.15,7.76,8.36,8.94,9.53,,,,,,,,,,,,
9,4.73,5.44,6.09,6.71,7.32,7.92,8.5,9.09,9.66,,,,,,,,,,,
10,4.29,5.0,5.65,6.27,6.88,7.48,8.07,8.65,9.22,9.8,,,,,,,,,,
11,3.85,4.56,5.21,5.83,6.44,7.04,7.63,8.21,8.78,9.36,9.93,,,,,,,,,
12,3.41,4.12,4.77,5.39,6.0,6.6,7.19,7.77,8.34,8.92,9.49,10.05,,,,,,,,
13,2.97,3.68,4.33,4.95,5.56,6.16,6.75,7.33,7.91,8.48,9.05,9.61,10.17,,,,,,,
14,2.53,3.24,3.89,4.51,5.12,5.72,6.31,6.89,7.47,8.04,8.61,9.17,9.73,10.29,,,,,,
15,2.09,2.8,3.45,4.07,4.68,5.28,5.87,6.45,7.03,7.6,8.17,8.73,9.29,9.85,10.41,,,,,
16,1.65,2.36,3.01,3.63,4.24,4.84,5.43,6.01,6.59,7.16,7.73,8.29,8.85,9.42,9.97,10.53,,,,
17,1.21,1.92,2.57,3.19,3.8,4.4,4.99,5.57,6.15,6.72,7.29,7.85,8.41,8.97,9.53,10.09,10.64,,,
18,0.78,1.48,2.13,2.75,3.36,3.95,4.54,5.12,5.7,6.27,6.84,7.4,7.96,8.52,9.08,9.64,10.19,10.74,,
19,0.35,1.03,1.66,2.27,2.87,3.45,4.03,4.61,5.18,5.74,6.31,6.87,7.42,7.98,8.53,9.08,9.63,10.18,10.73,
20,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5
