i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.80,,,,,,,,,,,,,,,,,,,
2,10.23,11.22,,,,,,,,,,,,,,,,,,
3,9.67,10.65,11.35,,,,,,,,,,,,,,,,,
4,9.10,10.09,10.79,11.46,,,,,,,,,,,,,,,,
5,8.54,9.53,10.22,10.89,11.54,,,,,,,,,,,,,,,
6,7.98,8.96,9.66,10.33,10.98,11.61,,,,,,,,,,,,,,
7,7.41,8.40,9.09,9.76,10.41,11.05,11.68,,,,,,,,,,,,,
8,6.85,7.84,8.53,9.20,9.85,10.49,11.11,11.73,,,,,,,,,,,,
9,6.28,7.27,7.97,8.64,9.29,9.92,10.55,11.17,11.78,,,,,,,,,,,
10,5.72,6.71,7.40,8.07,8.72,9.36,9.98,10.60,11.21,11.82,,,,,,,,,,
11,5.16,6.14,6.84,7.51,8.16,8.79,9.42,10.04,10.65,11.25,11.85,,,,,,,,,
12,4.59,5.58,6.27,6.94,7.59,8.23,8.86,9.47,10.08,10.69,11.29,11.88,,,,,,,,
13,4.03,5.02,5.71,6.38,7.03,7.67,8.29,8.91,9.52,10.12,10.72,11.32,11.91,,,,,,,
14,3.46,4.45,5.15,5.82,6.47,7.10,7.73,8.35,8.96,9.56,10.16,10.75,11.34,11.93,,,,,,
15,2.90,3.89,4.58,5.25,5.90,6.54,7.16,7.78,8.39,9.00,9.59,10.19,10.78,11.36,11.95,,,,,
16,2.34,3.32,4.02,4.69,5.34,5.97,6.60,7.22,7.83,8.43,9.03,9.62,10.21,10.80,11.38,11.96,,,,
17,1.77,2.76,3.45,4.12,4.77,5.41,6.03,6.65,7.26,7.86,8.46,9.06,9.65,10.23,10.81,11.39,11.97,,,
18,1.21,2.19,2.88,3.55,4.20,4.83,5.45,6.07,6.68,7.28,7.88,8.47,9.06,9.64,10.23,10.80,11.38,11.96,,
19,0.60,1.58,2.25,2.89,3.53,4.14,4.76,5.36,5.96,6.55,7.13,7.72,8.30,8.88,9.45,10.02,10.59,11.16,11.72,
20,0.00,0.77,1.27,1.77,2.27,2.77,3.27,3.77,4.27,4.77,5.27,5.77,6.27,6.77,7.27,7.77,8.27,8.77,9.27,9.77
