i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.59,,,,,,,,,,,,,,,,,,
2,1.59,2.55,,,,,,,,,,,,,,,,,
3,1.59,2.55,3.60,,,,,,,,,,,,,,,,
4,1.59,2.55,3.60,4.66,,,,,,,,,,,,,,,
5,1.59,2.55,3.60,4.66,5.70,,,,,,,,,,,,,,
6,1.59,2.55,3.60,4.66,5.70,6.74,,,,,,,,,,,,,
7,1.59,2.55,3.60,4.66,5.70,6.74,7.78,,,,,,,,,,,,
8,1.59,2.55,3.60,4.66,5.70,6.74,7.78,8.80,,,,,,,,,,,
9,1.59,2.55,3.60,4.66,5.70,6.74,7.78,8.80,9.84,,,,,,,,,,
10,1.59,2.55,3.60,4.66,5.70,6.74,7.78,8.80,9.84,10.87,,,,,,,,,
11,1.59,2.55,3.60,4.66,5.70,6.74,7.78,8.80,9.84,10.87,11.90,,,,,,,,
12,1.59,2.55,3.60,4.66,5.70,6.74,7.78,8.80,9.84,10.87,11.90,12.93,,,,,,,
13,1.59,2.55,3.60,4.66,5.70,6.74,7.78,8.80,9.84,10.87,11.90,12.93,13.96,,,,,,
14,1.59,2.55,3.60,4.66,5.70,6.74,7.78,8.80,9.84,10.87,11.90,12.93,13.96,14.98,,,,,
15,1.59,2.54,3.60,4.66,5.70,6.74,7.78,8.80,9.84,10.87,11.90,12.93,13.96,14.98,16.00,,,,
16,1.58,2.54,3.60,4.66,5.70,6.74,7.78,8.80,9.84,10.87,11.89,12.93,13.95,14.97,16.00,17.02,,,
17,1.58,2.54,3.60,4.64,5.68,6.72,7.76,8.79,9.82,10.86,11.88,12.91,13.94,14.96,15.99,17.01,18.03,,
18,1.53,2.46,3.50,4.54,5.58,6.62,7.65,8.68,9.71,10.73,11.76,12.79,13.81,14.83,15.85,16.87,17.89,18.91,
19,1.03,2.01,2.98,3.96,4.95,5.93,6.92,7.92,8.91,9.91,10.91,11.90,12.90,13.90,14.90,15.90,16.90,17.89,18.89
