i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.45,,,,,,,,,,,,,,,,,,
2,1.45,2.32,,,,,,,,,,,,,,,,,
3,1.45,2.32,3.35,,,,,,,,,,,,,,,,
4,1.45,2.32,3.35,4.40,,,,,,,,,,,,,,,
5,1.45,2.32,3.35,4.40,5.44,,,,,,,,,,,,,,
6,1.45,2.32,3.35,4.40,5.44,6.47,,,,,,,,,,,,,
7,1.45,2.32,3.35,4.40,5.44,6.47,7.51,,,,,,,,,,,,
8,1.45,2.32,3.35,4.40,5.44,6.47,7.51,8.55,,,,,,,,,,,
9,1.45,2.32,3.35,4.40,5.44,6.47,7.51,8.55,9.58,,,,,,,,,,
10,1.45,2.32,3.35,4.40,5.44,6.47,7.51,8.55,9.58,10.61,,,,,,,,,
11,1.45,2.32,3.35,4.40,5.44,6.47,7.51,8.55,9.58,10.61,11.64,,,,,,,,
12,1.45,2.32,3.35,4.40,5.44,6.47,7.51,8.55,9.58,10.61,11.64,12.67,,,,,,,
13,1.45,2.32,3.35,4.40,5.44,6.47,7.51,8.55,9.58,10.61,11.64,12.67,13.70,,,,,,
14,1.45,2.32,3.35,4.40,5.44,6.47,7.51,8.55,9.58,10.61,11.64,12.67,13.70,14.72,,,,,
15,1.45,2.32,3.35,4.39,5.43,6.47,7.51,8.55,9.58,10.61,11.64,12.67,13.70,14.72,15.74,,,,
16,1.44,2.32,3.35,4.39,5.43,6.47,7.51,8.54,9.58,10.61,11.64,12.67,13.69,14.72,15.74,16.77,,,
17,1.44,2.31,3.35,4.38,5.42,6.46,7.50,8.53,9.57,10.60,11.63,12.65,13.68,14.70,15.73,16.75,17.77,,
18,1.32,2.25,3.26,4.29,5.33,6.36,7.39,8.42,9.45,10.48,11.50,12.53,13.55,14.57,15.59,16.61,17.63,18.65,
19,0.83,1.78,2.74,3.72,4.70,5.69,6.68,7.67,8.66,9.66,10.66,11.65,12.65,13.65,14.65,15.65,16.65,17.65,18.64
