i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.90,,,,,,,,,,,,,,,,,,
2,0.90,2.11,,,,,,,,,,,,,,,,,
3,0.90,2.11,3.25,,,,,,,,,,,,,,,,
4,0.90,2.11,3.25,4.37,,,,,,,,,,,,,,,
5,0.90,2.11,3.25,4.37,5.47,,,,,,,,,,,,,,
6,0.90,2.11,3.25,4.37,5.47,6.56,,,,,,,,,,,,,
7,0.90,2.11,3.25,4.37,5.47,6.56,7.64,,,,,,,,,,,,
8,0.90,2.11,3.25,4.37,5.47,6.56,7.64,8.72,,,,,,,,,,,
9,0.90,2.11,3.25,4.37,5.47,6.56,7.64,8.72,9.79,,,,,,,,,,
10,0.90,2.11,3.25,4.37,5.47,6.56,7.64,8.72,9.79,10.86,,,,,,,,,
11,0.90,2.11,3.25,4.37,5.47,6.56,7.64,8.72,9.79,10.86,11.92,,,,,,,,
12,0.90,2.11,3.25,4.37,5.47,6.56,7.64,8.72,9.79,10.86,11.92,12.98,,,,,,,
13,0.90,2.11,3.25,4.37,5.47,6.56,7.64,8.72,9.79,10.86,11.92,12.98,14.04,,,,,,
14,0.90,2.11,3.25,4.37,5.47,6.56,7.64,8.72,9.79,10.86,11.92,12.98,14.04,15.09,,,,,
15,0.90,2.11,3.25,4.37,5.47,6.56,7.64,8.72,9.79,10.86,11.92,12.98,14.04,15.09,16.15,,,,
16,0.90,2.11,3.25,4.37,5.47,6.56,7.64,8.72,9.79,10.86,11.92,12.98,14.04,15.09,16.15,17.20,,,
17,0.90,2.11,3.25,4.37,5.47,6.56,7.64,8.72,9.79,10.86,11.92,12.98,14.04,15.09,16.15,17.20,18.25,,
18,0.90,2.11,3.25,4.37,5.47,6.56,7.64,8.71,9.78,10.85,11.91,12.97,14.03,15.09,16.14,17.19,18.24,19.29,
19,0.82,2.01,3.14,4.24,5.33,6.41,7.48,8.55,9.62,10.68,11.73,12.79,13.84,14.89,15.94,16.99,18.03,19.07,20.12
