i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,9.68,,,,,,,,,,,,,,,,,,,
2,9.18,10.49,,,,,,,,,,,,,,,,,,
3,8.67,9.99,10.84,,,,,,,,,,,,,,,,,
4,8.17,9.49,10.33,11.16,,,,,,,,,,,,,,,,
5,7.67,8.98,9.83,10.65,11.46,,,,,,,,,,,,,,,
6,7.16,8.48,9.33,10.15,10.96,11.76,,,,,,,,,,,,,,
7,6.66,7.98,8.82,9.65,10.46,11.26,12.05,,,,,,,,,,,,,
8,6.16,7.47,8.32,9.14,9.95,10.75,11.54,12.33,,,,,,,,,,,,
9,5.66,6.97,7.82,8.64,9.45,10.25,11.04,11.83,12.61,,,,,,,,,,,
10,5.15,6.47,7.31,8.14,8.95,9.75,10.54,11.32,12.10,12.88,,,,,,,,,,
11,4.65,5.97,6.81,7.63,8.44,9.24,10.03,10.82,11.60,12.38,13.15,,,,,,,,,
12,4.15,5.46,6.31,7.13,7.94,8.74,9.53,10.32,11.10,11.87,12.64,13.41,,,,,,,,
13,3.64,4.96,5.80,6.63,7.44,8.24,9.03,9.81,10.59,11.37,12.14,12.91,13.68,,,,,,,
14,3.14,4.46,5.30,6.13,6.93,7.73,8.53,9.31,10.09,10.87,11.64,12.41,13.17,13.94,,,,,,
15,2.64,3.95,4.80,5.62,6.43,7.23,8.02,8.81,9.59,10.36,11.14,11.90,12.67,13.43,14.19,,,,,
16,2.13,3.45,4.30,5.12,5.93,6.73,7.52,8.30,9.08,9.86,10.63,11.40,12.17,12.93,13.69,14.45,,,,
17,1.63,2.95,3.79,4.62,5.43,6.22,7.02,7.80,8.58,9.36,10.13,10.90,11.66,12.43,13.19,13.95,14.70,,,
18,1.13,2.44,3.29,4.11,4.92,5.72,6.51,7.29,8.07,8.85,9.62,10.39,11.16,11.92,12.68,13.44,14.20,14.95,,
19,0.64,1.94,2.77,3.58,4.38,5.17,5.96,6.74,7.52,8.29,9.05,9.82,10.58,11.34,12.10,12.86,13.61,14.36,15.12,
20,0.00,1.13,1.83,2.53,3.23,3.93,4.63,5.33,6.03,6.73,7.43,8.13,8.83,9.53,10.23,10.93,11.63,12.33,13.03,13.73
