i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,6.18,,,,,,,,,,,,,,,,,,,
2,5.85,6.57,,,,,,,,,,,,,,,,,,
3,5.53,6.24,7.04,,,,,,,,,,,,,,,,,
4,5.20,5.91,6.71,7.49,,,,,,,,,,,,,,,,
5,4.87,5.58,6.38,7.17,7.94,,,,,,,,,,,,,,,
6,4.54,5.25,6.05,6.84,7.61,8.37,,,,,,,,,,,,,,
7,4.21,4.93,5.73,6.51,7.28,8.05,8.81,,,,,,,,,,,,,
8,3.88,4.60,5.40,6.18,6.95,7.72,8.48,9.23,,,,,,,,,,,,
9,3.56,4.27,5.07,5.85,6.62,7.39,8.15,8.90,9.65,,,,,,,,,,,
10,3.23,3.94,4.74,5.52,6.30,7.06,7.82,8.58,9.33,10.08,,,,,,,,,,
11,2.90,3.61,4.41,5.20,5.97,6.73,7.49,8.25,9.00,9.75,10.49,,,,,,,,,
12,2.57,3.28,4.08,4.87,5.64,6.40,7.16,7.92,8.67,9.42,10.16,10.91,,,,,,,,
13,2.24,2.96,3.76,4.54,5.31,6.08,6.84,7.59,8.34,9.09,9.84,10.58,11.32,,,,,,,
14,1.91,2.63,3.43,4.21,4.98,5.75,6.51,7.26,8.01,8.76,9.51,10.25,10.99,11.73,,,,,,
15,1.59,2.30,3.10,3.88,4.66,5.42,6.18,6.93,7.69,8.43,9.18,9.92,10.67,11.41,12.15,,,,,
16,1.26,1.97,2.77,3.55,4.33,5.09,5.85,6.61,7.36,8.11,8.85,9.60,10.34,11.08,11.82,12.55,,,,
17,0.93,1.64,2.44,3.23,4.00,4.76,5.52,6.28,7.03,7.78,8.52,9.27,10.01,10.75,11.49,12.23,12.96,,,
18,0.60,1.31,2.12,2.90,3.67,4.43,5.19,5.95,6.70,7.45,8.19,8.94,9.68,10.42,11.16,11.90,12.63,13.37,,
19,0.28,0.98,1.78,2.56,3.33,4.09,4.84,5.60,6.35,7.09,7.84,8.58,9.32,10.06,10.80,11.53,12.27,13.00,13.73,
20,0.00,0.57,1.27,1.97,2.67,3.37,4.07,4.77,5.47,6.17,6.87,7.57,8.27,8.97,9.67,10.37,11.07,11.77,12.47,13.17
