i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.36,,,,,,,,,,,,,,,,,,
2,1.36,2.64,,,,,,,,,,,,,,,,,
3,1.36,2.64,3.85,,,,,,,,,,,,,,,,
4,1.36,2.64,3.85,5.02,,,,,,,,,,,,,,,
5,1.36,2.64,3.85,5.02,6.17,,,,,,,,,,,,,,
6,1.36,2.64,3.85,5.02,6.17,7.3,,,,,,,,,,,,,
7,1.36,2.64,3.85,5.02,6.17,7.3,8.42,,,,,,,,,,,,
8,1.36,2.64,3.85,5.02,6.17,7.3,8.42,9.53,,,,,,,,,,,
9,1.36,2.64,3.85,5.02,6.17,7.3,8.42,9.53,10.64,,,,,,,,,,
10,1.36,2.64,3.85,5.02,6.17,7.3,8.42,9.53,10.64,11.74,,,,,,,,,
11,1.36,2.64,3.85,5.02,6.17,7.3,8.42,9.53,10.64,11.74,12.83,,,,,,,,
12,1.36,2.64,3.85,5.02,6.17,7.3,8.42,9.53,10.64,11.74,12.83,13.92,,,,,,,
13,1.36,2.64,3.85,5.02,6.17,7.3,8.42,9.53,10.64,11.74,12.83,13.92,15.0,,,,,,
14,1.36,2.64,3.85,5.02,6.17,7.3,8.42,9.53,10.64,11.74,12.83,13.92,15.0,16.09,,,,,
15,1.36,2.64,3.85,5.02,6.17,7.3,8.42,9.53,10.64,11.74,12.83,13.92,15.0,16.09,17.16,,,,
16,1.36,2.64,3.85,5.02,6.17,7.3,8.42,9.53,10.64,11.74,12.83,13.92,15.0,16.09,17.16,18.24,,,
17,1.36,2.64,3.85,5.02,6.17,7.3,8.42,9.53,10.64,11.74,12.83,13.92,15.0,16.08,17.16,18.24,19.31,,
18,1.35,2.63,3.84,5.01,6.15,7.28,8.4,9.52,10.62,11.72,12.81,13.9,14.98,16.07,17.14,18.22,19.29,20.36,
19,1.2,2.44,3.62,4.76,5.89,7.01,8.11,9.21,10.3,11.39,12.47,13.55,14.62,15.7,16.77,17.83,18.9,19.96,21.02
