i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.05,,,,,,,,,,,,,,,,,,
2,1.05,2.19,,,,,,,,,,,,,,,,,
3,1.05,2.19,3.29,,,,,,,,,,,,,,,,
4,1.05,2.19,3.29,4.38,,,,,,,,,,,,,,,
5,1.05,2.19,3.29,4.38,5.46,,,,,,,,,,,,,,
6,1.05,2.19,3.29,4.38,5.46,6.53,,,,,,,,,,,,,
7,1.05,2.19,3.29,4.38,5.46,6.53,7.59,,,,,,,,,,,,
8,1.05,2.19,3.29,4.38,5.46,6.53,7.59,8.65,,,,,,,,,,,
9,1.05,2.19,3.29,4.38,5.46,6.53,7.59,8.65,9.71,,,,,,,,,,
10,1.05,2.19,3.29,4.38,5.46,6.53,7.59,8.65,9.71,10.76,,,,,,,,,
11,1.05,2.19,3.29,4.38,5.46,6.53,7.59,8.65,9.71,10.76,11.81,,,,,,,,
12,1.05,2.19,3.29,4.38,5.46,6.53,7.59,8.65,9.71,10.76,11.81,12.86,,,,,,,
13,1.05,2.19,3.29,4.38,5.46,6.53,7.59,8.65,9.71,10.76,11.81,12.86,13.90,,,,,,
14,1.05,2.19,3.29,4.38,5.46,6.53,7.59,8.65,9.71,10.76,11.81,12.86,13.90,14.99,,,,,
15,1.05,2.19,3.29,4.38,5.46,6.53,7.59,8.65,9.71,10.76,11.81,12.86,13.90,14.97,16.47,,,,
16,1.05,2.19,3.29,4.38,5.46,6.53,7.59,8.65,9.71,10.76,11.81,12.86,13.90,14.96,16.47,17.19,,,
17,1.05,2.19,3.29,4.38,5.46,6.53,7.59,8.65,9.71,10.76,11.81,12.85,13.90,14.96,16.47,17.19,18.79,,
18,1.05,2.19,3.29,4.38,5.46,6.52,7.59,8.65,9.70,10.75,11.80,12.85,13.89,14.93,16.47,17.19,18.79,20.30,
19,0.99,2.11,3.21,4.29,5.36,6.42,7.48,8.53,9.58,10.63,11.68,12.72,13.76,14.81,15.94,17.19,18.79,20.10,20.99
