i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,4.38,,,,,,,,,,,,,,,,,,,
2,4.15,4.85,,,,,,,,,,,,,,,,,,
3,3.92,4.62,5.39,,,,,,,,,,,,,,,,,
4,3.69,4.39,5.16,5.91,,,,,,,,,,,,,,,,
5,3.46,4.16,4.92,5.68,6.43,,,,,,,,,,,,,,,
6,3.22,3.92,4.69,5.45,6.20,6.95,,,,,,,,,,,,,,
7,2.99,3.69,4.46,5.22,5.97,6.71,7.46,,,,,,,,,,,,,
8,2.76,3.46,4.23,4.99,5.74,6.48,7.22,7.96,,,,,,,,,,,,
9,2.53,3.23,4.00,4.76,5.51,6.25,6.99,7.73,8.47,,,,,,,,,,,
10,2.30,3.00,3.77,4.52,5.27,6.02,6.76,7.50,8.24,8.97,,,,,,,,,,
11,2.07,2.77,3.53,4.29,5.04,5.79,6.53,7.27,8.00,8.74,9.47,,,,,,,,,
12,1.83,2.53,3.30,4.06,4.81,5.56,6.30,7.04,7.77,8.51,9.24,9.97,,,,,,,,
13,1.60,2.30,3.07,3.83,4.58,5.32,6.07,6.80,7.54,8.27,9.01,9.74,10.47,,,,,,,
14,1.37,2.07,2.84,3.60,4.35,5.09,5.83,6.57,7.31,8.04,8.77,9.51,10.24,10.96,,,,,,
15,1.14,1.84,2.61,3.36,4.12,4.86,5.60,6.34,7.08,7.81,8.54,9.27,10.00,10.73,11.46,,,,,
16,0.91,1.61,2.38,3.13,3.88,4.63,5.37,6.11,6.84,7.58,8.31,9.04,9.77,10.50,11.23,11.96,,,,
17,0.68,1.38,2.14,2.90,3.65,4.40,5.14,5.88,6.61,7.35,8.08,8.81,9.54,10.27,11.00,11.72,12.45,,,
18,0.44,1.14,1.91,2.67,3.42,4.16,4.91,5.64,6.38,7.12,7.85,8.58,9.31,10.04,10.76,11.49,12.22,12.98,,
19,0.21,0.91,1.68,2.43,3.18,3.92,4.66,5.40,6.14,6.87,7.60,8.33,9.06,9.79,10.51,11.24,11.96,12.72,13.45,
20,0.00,0.61,1.31,2.01,2.71,3.41,4.11,4.81,5.51,6.21,6.91,7.61,8.31,9.01,9.71,10.41,11.11,11.81,12.51,13.21
