i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,9.57,,,,,,,,,,,,,,,,,,,
2,9.07,10.19,,,,,,,,,,,,,,,,,,
3,8.57,9.69,10.55,,,,,,,,,,,,,,,,,
4,8.06,9.19,10.05,10.87,,,,,,,,,,,,,,,,
5,7.56,8.69,9.54,10.37,11.19,,,,,,,,,,,,,,,
6,7.06,8.19,9.04,9.87,10.69,11.49,,,,,,,,,,,,,,
7,6.56,7.69,8.54,9.37,10.19,10.99,11.78,,,,,,,,,,,,,
8,6.06,7.19,8.04,8.87,9.69,10.49,11.28,12.07,,,,,,,,,,,,
9,5.56,6.69,7.54,8.37,9.18,9.99,10.78,11.57,12.35,,,,,,,,,,,
10,5.06,6.19,7.04,7.87,8.68,9.49,10.28,11.07,11.85,12.63,,,,,,,,,,
11,4.56,5.69,6.54,7.37,8.18,8.99,9.78,10.57,11.35,12.12,12.90,,,,,,,,,
12,4.06,5.19,6.04,6.87,7.68,8.49,9.28,10.07,10.85,11.62,12.40,13.17,,,,,,,,
13,3.56,4.69,5.54,6.37,7.18,7.98,8.78,9.57,10.35,11.12,11.90,12.67,13.43,,,,,,,
14,3.06,4.19,5.04,5.87,6.68,7.48,8.28,9.06,9.85,10.62,11.40,12.17,12.93,13.70,,,,,,
15,2.56,3.69,4.54,5.37,6.18,6.98,7.78,8.56,9.35,10.12,10.90,11.66,12.43,13.20,13.96,,,,,
16,2.06,3.19,4.04,4.87,5.68,6.48,7.28,8.06,8.85,9.62,10.39,11.16,11.93,12.69,13.46,14.22,,,,
17,1.56,2.69,3.54,4.37,5.18,5.98,6.78,7.56,8.34,9.12,9.89,10.66,11.43,12.19,12.96,13.72,14.47,,,
18,1.06,2.18,3.04,3.86,4.68,5.48,6.27,7.06,7.84,8.62,9.39,10.16,10.92,11.69,12.45,13.21,13.97,14.72,,
19,0.56,1.68,2.52,3.34,4.14,4.94,5.73,6.51,7.29,8.06,8.83,9.59,10.36,11.12,11.87,12.63,13.39,14.14,14.89,
20,0.00,0.94,1.64,2.34,3.04,3.74,4.44,5.14,5.84,6.54,7.24,7.94,8.64,9.34,10.04,10.74,11.44,12.14,12.84,13.54
