i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,9.17,,,,,,,,,,,,,,,,,,,
2,8.69,10.06,,,,,,,,,,,,,,,,,,
3,8.22,9.58,10.51,,,,,,,,,,,,,,,,,
4,7.74,9.10,10.04,10.95,,,,,,,,,,,,,,,,
5,7.26,8.63,9.56,10.47,11.37,,,,,,,,,,,,,,,
6,6.79,8.15,9.08,9.99,10.89,11.78,,,,,,,,,,,,,,
7,6.31,7.67,8.61,9.52,10.41,11.30,12.18,,,,,,,,,,,,,
8,5.83,7.20,8.13,9.04,9.94,10.83,11.71,12.58,,,,,,,,,,,,
9,5.36,6.72,7.65,8.56,9.46,10.35,11.23,12.11,12.98,,,,,,,,,,,
10,4.88,6.24,7.18,8.09,8.98,9.87,10.75,11.63,12.50,13.37,,,,,,,,,,
11,4.40,5.77,6.70,7.61,8.51,9.40,10.28,11.15,12.02,12.89,13.75,,,,,,,,,
12,3.93,5.29,6.22,7.13,8.03,8.92,9.80,10.68,11.55,12.41,13.28,14.14,,,,,,,,
13,3.45,4.82,5.75,6.66,7.56,8.44,9.32,10.20,11.07,11.94,12.80,13.66,14.52,,,,,,,
14,2.97,4.34,5.27,6.18,7.08,7.97,8.85,9.72,10.59,11.46,12.32,13.18,14.04,14.90,,,,,,
15,2.50,3.86,4.79,5.70,6.60,7.49,8.37,9.25,10.12,10.98,11.85,12.71,13.56,14.42,15.27,,,,,
16,2.02,3.39,4.32,5.23,6.13,7.01,7.89,8.77,9.64,10.51,11.37,12.23,13.09,13.94,14.80,15.65,,,,
17,1.54,2.91,3.84,4.75,5.65,6.54,7.42,8.29,9.16,10.03,10.89,11.75,12.61,13.47,14.32,15.17,16.02,,,
18,1.07,2.43,3.36,4.27,5.17,6.06,6.94,7.81,8.69,9.55,10.41,11.27,12.13,12.99,13.84,14.69,15.54,16.39,,
19,0.61,1.96,2.89,3.79,4.68,5.57,6.44,7.32,8.18,9.05,9.91,10.77,11.62,12.48,13.33,14.18,15.03,15.87,16.72,
20,0.00,1.20,2.00,2.80,3.60,4.40,5.20,6.00,6.80,7.60,8.40,9.20,10.00,10.80,11.60,12.40,13.20,14.00,14.80,15.60
