i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,4.22,,,,,,,,,,,,,,,,,,,
2,4.00,4.69,,,,,,,,,,,,,,,,,,
3,3.77,4.47,5.33,,,,,,,,,,,,,,,,,
4,3.55,4.24,5.11,5.96,,,,,,,,,,,,,,,,
5,3.33,4.02,4.88,5.74,6.58,,,,,,,,,,,,,,,
6,3.10,3.80,4.66,5.51,6.36,7.20,,,,,,,,,,,,,,
7,2.88,3.57,4.44,5.29,6.14,6.98,7.82,,,,,,,,,,,,,
8,2.66,3.35,4.21,5.07,5.91,6.76,7.59,8.43,,,,,,,,,,,,
9,2.43,3.13,3.99,4.84,5.69,6.53,7.37,8.21,9.04,,,,,,,,,,,
10,2.21,2.90,3.77,4.62,5.47,6.31,7.15,7.98,8.82,9.65,,,,,,,,,,
11,1.99,2.68,3.55,4.40,5.24,6.09,6.92,7.76,8.59,9.43,10.26,,,,,,,,,
12,1.76,2.46,3.32,4.18,5.02,5.86,6.70,7.54,8.37,9.20,10.03,10.86,,,,,,,,
13,1.54,2.24,3.10,3.95,4.80,5.64,6.48,7.31,8.15,8.98,9.81,10.64,11.46,,,,,,,
14,1.32,2.01,2.88,3.73,4.58,5.42,6.26,7.09,7.92,8.76,9.59,10.41,11.24,12.07,,,,,,
15,1.09,1.79,2.65,3.51,4.35,5.19,6.03,6.87,7.70,8.53,9.36,10.19,11.02,11.84,12.67,,,,,
16,0.87,1.57,2.43,3.28,4.13,4.97,5.81,6.64,7.48,8.31,9.14,9.97,10.79,11.62,12.45,13.27,,,,
17,0.65,1.34,2.21,3.06,3.91,4.75,5.59,6.42,7.25,8.09,8.92,9.74,10.57,11.40,12.22,13.05,13.87,,,
18,0.42,1.12,1.98,2.84,3.68,4.52,5.36,6.20,7.03,7.86,8.69,9.52,10.35,11.17,12.00,12.82,13.65,14.47,,
19,0.20,0.89,1.76,2.61,3.45,4.29,5.13,5.97,6.80,7.63,8.46,9.29,10.11,10.94,11.76,12.59,13.41,14.23,15.06,
20,0.00,0.61,1.41,2.21,3.01,3.81,4.61,5.41,6.21,7.01,7.81,8.61,9.41,10.21,11.01,11.81,12.61,13.41,14.21,15.01
