i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,8.09,,,,,,,,,,,,,,,,,,,
2,7.67,8.74,,,,,,,,,,,,,,,,,,
3,7.24,8.31,9.23,,,,,,,,,,,,,,,,,
4,6.82,7.89,8.81,9.71,,,,,,,,,,,,,,,,
5,6.39,7.46,8.38,9.29,10.18,,,,,,,,,,,,,,,
6,5.97,7.04,7.96,8.86,9.75,10.63,,,,,,,,,,,,,,
7,5.54,6.61,7.53,8.44,9.33,10.21,11.08,,,,,,,,,,,,,
8,5.11,6.19,7.11,8.01,8.90,9.78,10.65,11.52,,,,,,,,,,,,
9,4.69,5.76,6.68,7.59,8.47,9.35,10.23,11.10,11.96,,,,,,,,,,,
10,4.26,5.34,6.26,7.16,8.05,8.93,9.80,10.67,11.53,12.39,,,,,,,,,,
11,3.84,4.91,5.83,6.74,7.62,8.50,9.38,10.24,11.11,11.97,12.82,,,,,,,,,
12,3.41,4.49,5.41,6.31,7.20,8.08,8.95,9.82,10.68,11.54,12.40,13.25,,,,,,,,
13,2.99,4.06,4.98,5.88,6.77,7.65,8.53,9.39,10.26,11.12,11.97,12.83,13.68,,,,,,,
14,2.56,3.63,4.56,5.46,6.35,7.23,8.10,8.97,9.83,10.69,11.55,12.40,13.25,14.10,,,,,,
15,2.14,3.21,4.13,5.03,5.92,6.80,7.68,8.54,9.41,10.27,11.12,11.98,12.83,13.68,14.52,,,,,
16,1.71,2.78,3.71,4.61,5.50,6.38,7.25,8.12,8.98,9.84,10.70,11.55,12.40,13.25,14.10,14.94,,,,
17,1.29,2.36,3.28,4.18,5.07,5.95,6.83,7.69,8.56,9.42,10.27,11.13,11.98,12.83,13.67,14.52,15.36,,,
18,0.86,1.93,2.86,3.76,4.65,5.53,6.40,7.27,8.13,8.99,9.84,10.70,11.55,12.40,13.25,14.09,14.94,15.78,,
19,0.44,1.51,2.43,3.33,4.21,5.09,5.96,6.82,7.68,8.54,9.40,10.25,11.10,11.94,12.79,13.64,14.48,15.32,16.16,
20,0.00,0.92,1.72,2.52,3.32,4.12,4.92,5.72,6.52,7.32,8.12,8.92,9.72,10.52,11.32,12.12,12.92,13.72,14.52,15.32
