i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,8.76,,,,,,,,,,,,,,,,,,,
2,8.30,9.55,,,,,,,,,,,,,,,,,,
3,7.84,9.10,10.02,,,,,,,,,,,,,,,,,
4,7.38,8.64,9.57,10.48,,,,,,,,,,,,,,,,
5,6.93,8.18,9.11,10.02,10.91,,,,,,,,,,,,,,,
6,6.47,7.73,8.65,9.56,10.46,11.34,,,,,,,,,,,,,,
7,6.01,7.27,8.20,9.10,10.00,10.88,11.76,,,,,,,,,,,,,
8,5.56,6.81,7.74,8.65,9.54,10.43,11.30,12.18,,,,,,,,,,,,
9,5.10,6.36,7.28,8.19,9.09,9.97,10.85,11.72,12.59,,,,,,,,,,,
10,4.64,5.90,6.83,7.73,8.63,9.51,10.39,11.26,12.13,12.99,,,,,,,,,,
11,4.19,5.44,6.37,7.28,8.17,9.06,9.93,10.81,11.67,12.54,13.40,,,,,,,,,
12,3.73,4.98,5.91,6.82,7.71,8.60,9.48,10.35,11.22,12.08,12.94,13.80,,,,,,,,
13,3.27,4.53,5.46,6.36,7.26,8.14,9.02,9.89,10.76,11.62,12.48,13.34,14.20,,,,,,,
14,2.82,4.07,5.00,5.91,6.80,7.69,8.56,9.43,10.30,11.17,12.03,12.88,13.74,14.59,,,,,,
15,2.36,3.61,4.54,5.45,6.34,7.23,8.11,8.98,9.85,10.71,11.57,12.43,13.28,14.14,14.99,,,,,
16,1.90,3.16,4.08,4.99,5.89,6.77,7.65,8.52,9.39,10.25,11.11,11.97,12.83,13.68,14.53,15.38,,,,
17,1.45,2.70,3.63,4.54,5.43,6.31,7.19,8.06,8.93,9.80,10.66,11.51,12.37,13.22,14.07,14.92,15.77,,,
18,0.99,2.24,3.17,4.08,4.97,5.86,6.73,7.61,8.47,9.34,10.20,11.05,11.91,12.76,13.61,14.46,15.31,16.16,,
19,0.54,1.79,2.71,3.61,4.50,5.38,6.26,7.13,7.99,8.85,9.71,10.57,11.42,12.27,13.12,13.97,14.82,15.66,16.50,
20,0.00,1.10,1.90,2.70,3.50,4.30,5.10,5.90,6.70,7.50,8.30,9.10,9.90,10.70,11.50,12.30,13.10,13.90,14.70,15.50
