i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,8.89,,,,,,,,,,,,,,,,,,,
2,8.43,10.02,,,,,,,,,,,,,,,,,,
3,7.97,9.56,10.48,,,,,,,,,,,,,,,,,
4,7.51,9.10,10.02,10.92,,,,,,,,,,,,,,,,
5,7.05,8.64,9.56,10.46,11.35,,,,,,,,,,,,,,,
6,6.59,8.19,9.10,10.00,10.89,11.77,,,,,,,,,,,,,,
7,6.13,7.73,8.64,9.54,10.43,11.31,12.19,,,,,,,,,,,,,
8,5.67,7.27,8.18,9.08,9.97,10.85,11.73,12.60,,,,,,,,,,,,
9,5.22,6.81,7.72,8.63,9.51,10.40,11.27,12.14,13.01,,,,,,,,,,,
10,4.76,6.35,7.27,8.17,9.06,9.94,10.81,11.68,12.55,13.41,,,,,,,,,,
11,4.30,5.89,6.81,7.71,8.60,9.48,10.35,11.22,12.09,12.95,13.81,,,,,,,,,
12,3.84,5.43,6.35,7.25,8.14,9.02,9.89,10.76,11.63,12.49,13.35,14.21,,,,,,,,
13,3.38,4.97,5.89,6.79,7.68,8.56,9.43,10.30,11.17,12.03,12.89,13.75,14.60,,,,,,,
14,2.92,4.51,5.43,6.33,7.22,8.10,8.97,9.84,10.71,11.57,12.43,13.29,14.14,14.99,,,,,,
15,2.46,4.05,4.97,5.87,6.76,7.64,8.52,9.38,10.25,11.11,11.97,12.83,13.68,14.53,15.39,,,,,
16,2.00,3.59,4.51,5.41,6.30,7.18,8.06,8.93,9.79,10.65,11.51,12.37,13.22,14.08,14.93,15.77,,,,
17,1.54,3.13,4.05,4.95,5.84,6.72,7.60,8.47,9.33,10.19,11.05,11.91,12.76,13.62,14.47,15.32,16.16,,,
18,1.08,2.67,3.59,4.49,5.38,6.26,7.14,8.01,8.87,9.73,10.59,11.45,12.30,13.15,14.01,14.85,15.70,16.55,,
19,0.65,2.22,3.13,4.02,4.91,5.79,6.66,7.52,8.39,9.25,10.10,10.96,11.81,12.66,13.51,14.36,15.20,16.05,16.89,
20,0.00,1.45,2.25,3.05,3.85,4.65,5.45,6.25,7.05,7.85,8.65,9.45,10.25,11.05,11.85,12.65,13.45,14.25,15.05,15.85
