i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,7.51,,,,,,,,,,,,,,,,,,,
2,7.11,8.15,,,,,,,,,,,,,,,,,,
3,6.72,7.75,8.67,,,,,,,,,,,,,,,,,
4,6.32,7.36,8.27,9.16,,,,,,,,,,,,,,,,
5,5.93,6.97,7.88,8.77,9.65,,,,,,,,,,,,,,,
6,5.53,6.57,7.48,8.37,9.26,10.13,,,,,,,,,,,,,,
7,5.14,6.18,7.09,7.98,8.86,9.73,10.60,,,,,,,,,,,,,
8,4.74,5.78,6.69,7.58,8.47,9.34,10.21,11.07,,,,,,,,,,,,
9,4.35,5.39,6.30,7.19,8.07,8.94,9.81,10.67,11.53,,,,,,,,,,,
10,3.95,4.99,5.90,6.80,7.68,8.55,9.42,10.28,11.13,11.99,,,,,,,,,,
11,3.56,4.60,5.51,6.40,7.28,8.15,9.02,9.88,10.74,11.59,12.45,,,,,,,,,
12,3.16,4.20,5.11,6.01,6.89,7.76,8.63,9.49,10.35,11.20,12.05,12.90,,,,,,,,
13,2.77,3.81,4.72,5.61,6.49,7.36,8.23,9.09,9.95,10.80,11.66,12.51,13.35,,,,,,,
14,2.37,3.41,4.32,5.22,6.10,6.97,7.84,8.70,9.56,10.41,11.26,12.11,12.96,13.80,,,,,,
15,1.98,3.02,3.93,4.82,5.70,6.57,7.44,8.30,9.16,10.02,10.87,11.72,12.56,13.41,14.25,,,,,
16,1.58,2.62,3.53,4.43,5.31,6.18,7.05,7.91,8.77,9.62,10.47,11.32,12.17,13.01,13.86,14.70,,,,
17,1.19,2.23,3.14,4.03,4.91,5.79,6.65,7.51,8.37,9.23,10.08,10.93,11.77,12.62,13.46,14.30,15.15,,,
18,0.79,1.83,2.74,3.64,4.52,5.39,6.26,7.12,7.98,8.83,9.68,10.53,11.38,12.22,13.07,13.91,14.75,15.59,,
19,0.40,1.44,2.34,3.23,4.11,4.98,5.85,6.71,7.56,8.41,9.26,10.11,10.96,11.80,12.64,13.48,14.32,15.16,16.00,
20,0.00,0.90,1.70,2.50,3.30,4.10,4.90,5.70,6.50,7.30,8.10,8.90,9.70,10.50,11.30,12.10,12.90,13.70,14.50,15.30
