i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,4.94,,,,,,,,,,,,,,,,,,,
2,4.68,5.54,,,,,,,,,,,,,,,,,,
3,4.42,5.27,6.15,,,,,,,,,,,,,,,,,
4,4.16,5.01,5.89,6.75,,,,,,,,,,,,,,,,
5,3.90,4.75,5.63,6.49,7.34,,,,,,,,,,,,,,,
6,3.63,4.49,5.36,6.23,7.08,7.93,,,,,,,,,,,,,,
7,3.37,4.23,5.10,5.97,6.82,7.67,8.51,,,,,,,,,,,,,
8,3.11,3.97,4.84,5.70,6.56,7.41,8.25,9.09,,,,,,,,,,,,
9,2.85,3.71,4.58,5.44,6.30,7.14,7.99,8.83,9.67,,,,,,,,,,,
10,2.59,3.45,4.32,5.18,6.04,6.88,7.73,8.57,9.41,10.24,,,,,,,,,,
11,2.33,3.19,4.06,4.92,5.78,6.62,7.47,8.31,9.15,9.98,10.82,,,,,,,,,
12,2.07,2.93,3.80,4.66,5.51,6.36,7.21,8.05,8.89,9.72,10.56,11.39,,,,,,,,
13,1.81,2.67,3.54,4.40,5.25,6.10,6.95,7.79,8.63,9.46,10.30,11.13,11.96,,,,,,,
14,1.55,2.40,3.28,4.14,4.99,5.84,6.68,7.53,8.36,9.20,10.04,10.87,11.70,12.53,,,,,,
15,1.29,2.14,3.02,3.88,4.73,5.58,6.42,7.26,8.10,8.94,9.77,10.61,11.44,12.27,13.10,,,,,
16,1.03,1.88,2.76,3.62,4.47,5.32,6.16,7.00,7.84,8.68,9.51,10.35,11.18,12.01,12.84,13.67,,,,
17,0.77,1.62,2.50,3.36,4.21,5.06,5.90,6.74,7.58,8.42,9.25,10.09,10.92,11.75,12.58,13.40,14.23,,,
18,0.50,1.36,2.23,3.10,3.95,4.80,5.64,6.48,7.32,8.16,8.99,9.82,10.66,11.49,12.32,13.14,13.97,14.80,,
19,0.24,1.10,1.97,2.83,3.68,4.53,5.37,6.21,7.05,7.88,8.72,9.55,10.38,11.21,12.04,12.87,13.69,14.52,15.34,
20,0.00,0.76,1.56,2.36,3.16,3.96,4.76,5.56,6.36,7.16,7.96,8.76,9.56,10.36,11.16,11.96,12.76,13.56,14.36,15.16
