i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,2.23,,,,,,,,,,,,,,,,,,
2,2.23,3.58,,,,,,,,,,,,,,,,,
3,2.23,3.58,4.97,,,,,,,,,,,,,,,,
4,2.23,3.58,4.97,6.32,,,,,,,,,,,,,,,
5,2.23,3.58,4.97,6.32,7.62,,,,,,,,,,,,,,
6,2.23,3.58,4.97,6.32,7.62,8.90,,,,,,,,,,,,,
7,2.23,3.58,4.97,6.32,7.62,8.90,10.15,,,,,,,,,,,,
8,2.23,3.58,4.97,6.32,7.62,8.90,10.15,11.38,,,,,,,,,,,
9,2.23,3.58,4.97,6.32,7.62,8.90,10.15,11.38,12.60,,,,,,,,,,
10,2.23,3.58,4.97,6.32,7.62,8.90,10.15,11.38,12.60,13.80,,,,,,,,,
11,2.23,3.58,4.97,6.32,7.62,8.90,10.15,11.38,12.60,13.80,15.00,,,,,,,,
12,2.23,3.58,4.97,6.32,7.62,8.90,10.15,11.38,12.60,13.80,15.00,16.18,,,,,,,
13,2.23,3.58,4.97,6.32,7.62,8.90,10.15,11.38,12.60,13.80,15.00,16.18,17.36,,,,,,
14,2.23,3.58,4.97,6.32,7.62,8.90,10.15,11.38,12.60,13.80,15.00,16.18,17.36,18.53,,,,,
15,2.23,3.58,4.97,6.32,7.62,8.90,10.15,11.38,12.60,13.80,15.00,16.18,17.36,18.53,19.69,,,,
16,2.23,3.58,4.97,6.32,7.62,8.90,10.15,11.38,12.60,13.80,15.00,16.18,17.36,18.53,19.69,20.85,,,
17,2.23,3.58,4.96,6.32,7.62,8.90,10.15,11.38,12.60,13.80,15.00,16.18,17.36,18.53,19.69,20.85,22.00,,
18,2.24,3.59,4.97,6.32,7.62,8.89,10.15,11.38,12.59,13.80,14.99,16.18,17.35,18.52,19.68,20.84,21.99,23.14,
19,1.77,3.24,4.62,5.96,7.24,8.50,9.73,10.95,12.15,13.34,14.52,15.69,16.86,18.02,19.17,20.32,21.46,22.59,23.73
