i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,8.86,,,,,,,,,,,,,,,,,,,
2,8.40,9.79,,,,,,,,,,,,,,,,,,
3,7.94,9.33,10.26,,,,,,,,,,,,,,,,,
4,7.48,8.87,9.80,10.70,,,,,,,,,,,,,,,,
5,7.02,8.41,9.34,10.24,11.13,,,,,,,,,,,,,,,
6,6.56,7.95,8.88,9.78,10.67,11.56,,,,,,,,,,,,,,
7,6.10,7.49,8.42,9.32,10.21,11.10,11.97,,,,,,,,,,,,,
8,5.64,7.03,7.96,8.86,9.75,10.64,11.51,12.39,,,,,,,,,,,,
9,5.18,6.57,7.50,8.40,9.29,10.18,11.05,11.92,12.79,,,,,,,,,,,
10,4.72,6.11,7.04,7.94,8.83,9.72,10.59,11.46,12.33,13.19,,,,,,,,,,
11,4.26,5.65,6.58,7.48,8.37,9.26,10.13,11.00,11.87,12.73,13.59,,,,,,,,,
12,3.80,5.19,6.12,7.02,7.91,8.80,9.67,10.54,11.41,12.27,13.13,13.99,,,,,,,,
13,3.34,4.73,5.65,6.56,7.45,8.34,9.21,10.08,10.95,11.81,12.67,13.53,14.39,,,,,,,
14,2.88,4.27,5.19,6.10,6.99,7.88,8.75,9.62,10.49,11.35,12.21,13.07,13.93,14.78,,,,,,
15,2.42,3.81,4.73,5.64,6.53,7.41,8.29,9.16,10.03,10.89,11.75,12.61,13.47,14.32,15.17,,,,,
16,1.96,3.35,4.27,5.18,6.07,6.95,7.83,8.70,9.57,10.43,11.29,12.15,13.01,13.86,14.71,15.56,,,,
17,1.50,2.89,3.81,4.72,5.61,6.49,7.37,8.24,9.11,9.97,10.83,11.69,12.55,13.40,14.25,15.10,15.95,,,
18,1.04,2.43,3.35,4.26,5.15,6.03,6.91,7.78,8.65,9.51,10.37,11.23,12.08,12.94,13.79,14.64,15.48,16.33,,
19,0.60,1.98,2.89,3.79,4.68,5.56,6.43,7.30,8.16,9.02,9.88,10.74,11.59,12.44,13.29,14.14,14.99,15.83,16.67,
20,0.00,1.24,2.04,2.84,3.64,4.44,5.24,6.04,6.84,7.64,8.44,9.24,10.04,10.84,11.64,12.44,13.24,14.04,14.84,15.64
