i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,3.26,,,,,,,,,,,,,,,,,,,
2,3.09,3.29,,,,,,,,,,,,,,,,,,
3,2.91,3.11,3.48,,,,,,,,,,,,,,,,,
4,2.73,2.93,3.30,3.65,,,,,,,,,,,,,,,,
5,2.55,2.75,3.12,3.47,3.82,,,,,,,,,,,,,,,
6,2.37,2.57,2.94,3.29,3.64,3.98,,,,,,,,,,,,,,
7,2.19,2.40,2.76,3.12,3.46,3.80,4.14,,,,,,,,,,,,,
8,2.01,2.22,2.58,2.94,3.28,3.62,3.96,4.29,,,,,,,,,,,,
9,1.84,2.04,2.41,2.76,3.10,3.45,3.78,4.12,4.45,,,,,,,,,,,
10,1.66,1.86,2.23,2.58,2.93,3.27,3.60,3.94,4.27,4.60,,,,,,,,,,
11,1.48,1.68,2.05,2.40,2.75,3.09,3.42,3.76,4.09,4.42,4.75,,,,,,,,,
12,1.30,1.50,1.87,2.22,2.57,2.91,3.25,3.58,3.91,4.24,4.57,4.93,,,,,,,,
13,1.12,1.32,1.69,2.05,2.39,2.73,3.07,3.40,3.73,4.06,4.39,4.75,5.06,,,,,,,
14,0.94,1.15,1.51,1.87,2.21,2.55,2.89,3.22,3.55,3.88,4.21,4.57,4.89,1.61,,,,,,
15,0.76,0.97,1.33,1.69,2.03,2.37,2.71,3.04,3.38,3.71,4.03,4.39,4.71,2.10,-113.24,,,,,
16,0.59,0.79,1.16,1.51,1.86,2.20,2.53,2.87,3.20,3.53,3.86,4.21,4.54,2.60,-86.92,-511.50,,,,
17,0.41,0.61,0.98,1.33,1.68,2.02,2.35,2.69,3.02,3.35,3.68,4.02,4.37,3.10,-60.60,-359.03,-13807.35,,,
18,0.23,0.43,0.80,1.15,1.50,1.84,2.17,2.51,2.84,3.17,3.49,3.84,4.19,3.59,-34.33,-207.04,-8160.91,-364480.89,,
19,0.07,0.25,0.61,0.96,1.30,1.64,1.97,2.30,2.63,2.96,3.28,3.61,3.94,4.05,-6.52,-47.78,-2185.29,-117100.74,-6489259.50,
20,0.00,0.09,0.39,0.69,0.99,1.29,1.59,1.89,2.19,2.49,2.79,3.09,3.39,3.69,3.99,4.29,4.59,4.89,5.19,5.49
